start_year,end_year,variable,estimate,pvalue,ame_estimate,ame_pvalue,mem_estimate,mem_pvalue
1988,2005,eci,4.49039590450436,0.0124955218991337,0.287834456190161,0.285395908053596,0.287834456188186,0.285421647855415
1988,2006,eci,4.53685173294577,0.0116118383886442,0.222719655531646,0.411707053806919,0.222719655528749,0.411733787638685
1988,2007,eci,5.01853614960486,0.00205870616902548,0.294937596062881,0.260695810318618,0.29493759606467,0.260663193031075
1988,2008,eci,4.92206667769956,0.00491380796272017,0.209338945362479,0.436571584182901,0.209338945363157,0.436568131342741
1988,2009,eci,5.2912637861146,0.00185565645741945,0.245089790048009,0.351204020161074,0.245089790046648,0.351229672382516
1988,2010,eci,5.33712816544035,0.00198838001026938,0.244399909981862,0.36604058088726,0.244399909980895,0.366039017297012
1988,2011,eci,5.4693399243328,0.00229250830583589,0.195886074162783,0.494774672776492,0.195886074162616,0.494773192621822
1988,2012,eci,5.22017103968933,0.00269758499707494,0.190524061483287,0.501821759872287,0.190524061481625,0.501845566788492
1988,2013,eci,5.15722877753969,0.00181669937490449,0.213640032882428,0.440364654450016,0.213640032882057,0.440392386565527
1988,2014,eci,4.94991169459085,0.00179990394347825,0.261544884890693,0.320573653686858,0.261544884892834,0.320540437233554
1988,2015,eci,4.93664306134862,0.00190725758850884,0.265000794439994,0.315008110055791,0.265000794440264,0.315003414748321
1988,2016,eci,4.92300605070753,0.00200969970439594,0.265319032149974,0.314607010183345,0.265319032147391,0.31463549305302
1989,1993,eci,7.55829539578653,0.0566108767340483,0.51050275688455,0.461669189938624,0.510502756883816,0.461665141536873
1989,1994,eci,7.40455132626475,0.0729420044264707,0.672657402681582,0.331048014147075,0.672657402681696,0.331046396594804
1989,1995,eci,8.19409168523298,0.0335982598166177,0.794809575805558,0.211130972750136,0.79480957580652,0.211128793646164
1989,1996,eci,8.54610449065644,0.0206363845988131,0.617107790130302,0.319745701286758,0.617107790130908,0.319742009853131
1989,1997,eci,7.23925511031078,0.027486474563929,0.716937503496532,0.204331512588449,0.716937503494247,0.204357197335348
1989,1998,eci,6.29955337870773,0.0480129714038298,0.883925659070009,0.0687497942520057,0.883925659071205,0.0687489582960101
1989,1999,eci,6.24968212986093,0.0416362494105594,0.867748020163119,0.0523189771274083,0.867748020163601,0.0523178556394011
1989,2000,eci,6.89222519596695,0.0199711219254574,0.918610284435925,0.0228800759094589,0.918610284437595,0.022879660538463
1989,2001,eci,6.12378143900499,0.0258515898049585,0.89642511944324,0.0168000219203108,0.896425119444887,0.0167994558634727
1989,2002,eci,5.43045074161891,0.0251048419571153,0.705097490256173,0.0428113294788818,0.705097490256649,0.0428096749263387
1989,2003,eci,5.07369772050824,0.0129979492904504,0.572112499439693,0.0781812567318284,0.572112499438564,0.0781989973646098
1989,2004,eci,4.99651914266599,0.0141521401068423,0.448984789751375,0.158065751959034,0.448984789750932,0.158092018301222
1989,2005,eci,5.51107782204958,0.0075825432292447,0.426621275027274,0.17678530488536,0.426621275024693,0.176811923271629
1989,2006,eci,5.73199142994107,0.00467289764480637,0.401529665573378,0.207302767090774,0.401529665571821,0.207301576028433
1989,2007,eci,6.10865444525833,0.000586538958429969,0.47442463685325,0.120238874011613,0.474424636852318,0.120236215191647
1989,2008,eci,6.22166551678577,0.000489253219191923,0.4224881400708,0.180335571152037,0.422488140071719,0.180332985970149
1989,2009,eci,6.41722646633854,0.000252627090405898,0.431815125431163,0.159790651875285,0.43181512543276,0.159788786069342
1989,2010,eci,6.39057923690304,0.000392635827789518,0.418423914103995,0.186652459806542,0.418423914105165,0.186649474321318
1989,2011,eci,6.66999670328546,0.000441675410227329,0.391881775558188,0.241757359665866,0.391881775557989,0.241756108520626
1989,2012,eci,6.33135264994719,0.000703060902155261,0.371408209412504,0.263209524038239,0.371408209414903,0.263206683778153
