Year,Penn_GDP_PPP,population,GNIpc,PropertyRights,period,ccode,eci,GDP_pc_growth,KOF_econ,pop_growth,hc,primary_exports_1_share_country,oil_exports_share_country,coal_and_metal_exports_share_country,AdvancedCountry,OPECdummy,political_rel,economic_rel,legal_rel
1960,,54211,36960,,"(1955,1960]",ABW,,,,,,,,,0,0,,,
1961,,55438,36960,,"(1960,1965]",ABW,,,,2.238143931,,,,,0,0,,,
1962,,56225,36960,,"(1960,1965]",ABW,,,,1.409621865,,,,,0,0,,,
1963,,56695,36960,,"(1960,1965]",ABW,,,,0.832452558,,,,,0,0,,,
1964,,57032,36960,,"(1960,1965]",ABW,,,,0.592649039,,,,,0,0,,,
1965,,57360,36960,,"(1960,1965]",ABW,,,,0.573468248,,,,,0,0,,,
1966,,57715,36960,,"(1965,1970]",ABW,,,,0.616990878,,,,,0,0,,,
1967,,58055,36960,,"(1965,1970]",ABW,,,,0.587373201,,,,,0,0,,,
1968,,58386,36960,,"(1965,1970]",ABW,,,,0.568529799,,,,,0,0,,,
1969,,58726,36960,,"(1965,1970]",ABW,,,,0.580642385,,,,,0,0,,,
1970,7.12e-06,59063,36960,,"(1965,1970]",ABW,,,,0.57221119,,,,,0,0,,,
1971,7.72e-06,59440,36960,,"(1970,1975]",ABW,,8.061008002,,0.636272958,,,,,0,0,,,
1972,8.37e-06,59840,36960,,"(1970,1975]",ABW,,8.026918874,,0.670693326,,,,,0,0,,,
1973,9.07e-06,60243,36960,,"(1970,1975]",ABW,,8.026236635,,0.671204938,,,,,0,0,,,
1974,9.84e-06,60528,36960,,"(1970,1975]",ABW,,8.223346371,,0.471968484,,,,,0,0,,,
1975,1.07e-05,60657,36960,,"(1970,1975]",ABW,,8.485805004,,0.212897716,,,,,0,0,,,
1976,1.17e-05,60586,36960,,"(1975,1980]",ABW,,8.817756985,,-0.117120177,,,,,0,0,,,
1977,1.28e-05,60366,36960,,"(1975,1980]",ABW,,9.063201963,,-0.363781075,,,,,0,0,,,
1978,1.4e-05,60103,36960,,"(1975,1980]",ABW,,9.136790601,,-0.436627544,,,,,0,0,,,
1979,1.53e-05,59980,36960,,"(1975,1980]",ABW,,8.901833902,,-0.204858378,,,,,0,0,,,
1980,1.67e-05,60096,36960,,"(1975,1980]",ABW,,8.502249824,,0.193211026,,,,,0,0,,,
1981,1.81e-05,60567,36960,,"(1980,1985]",ABW,,7.918738715,,0.780690671,,,,,0,0,,,
1982,1.95e-05,61345,36960,,"(1980,1985]",ABW,,7.428274723,,1.276347795,,,,,0,0,,,
1983,2.1e-05,62201,36960,,"(1980,1985]",ABW,,7.309436186,,1.385740854,,,,,0,0,,,
1984,2.26e-05,62836,36960,,"(1980,1985]",ABW,,7.686555832,,1.015708085,,,,,0,0,,,
1985,2.46e-05,63026,36960,,"(1980,1985]",ABW,,8.403936193,,0.301918203,,,,,0,0,,,
1986,2.7e-05,62644,36960,,"(1985,1990]",ABW,,9.278901536,,-0.607943306,,,,,0,0,,,
1987,3.18e-05,61833,36960,,"(1985,1990]",ABW,,16.2419749,,-1.303070407,,,,,0,0,,,
1988,3.82e-05,61079,36960,,"(1985,1990]",ABW,0.822618604,18.35503666,,-1.226909428,,8.04e-05,0.000258242,0,0,0,,,
1989,4.06e-05,61032,36960,,"(1985,1990]",ABW,0.952580333,6.159809837,,-0.076979146,,0.005330832,0.010452097,0.000571683,0,0,,,
1990,4.51e-05,62149,36960,,"(1985,1990]",ABW,1.092697024,10.5518474,,1.813641093,,0.004713336,0.083648478,8.06e-05,0,0,,,
1991,4e-05,64622,36960,,"(1990,1995]",ABW,-0.468206644,-11.90056503,,3.902018236,,0.002007779,0.25377804,0.000208344,0,0,,,
1992,4.81e-05,68235,36960,,"(1990,1995]",ABW,-0.038629115,18.406736,,5.44027196,,0.010392711,0.327854286,0.005559964,0,0,,,
1993,5.02e-05,72504,36960,,"(1990,1995]",ABW,-1.251710892,4.259550079,,6.068410306,,0.002972141,0.359042814,0.000263853,0,0,,,
1994,5.37e-05,76700,36960,,"(1990,1995]",ABW,-1.143046141,6.713009396,,5.625997562,,0.009056063,0.37552927,0.000211557,0,0,,,
1995,5.04e-05,80324,36960,,"(1990,1995]",ABW,-0.4379448,-6.307206687,,4.616674713,,0.01567036,0.464578873,0.00013954,0,0,,,
1996,5.01e-05,83200,36960,,"(1995,2000]",ABW,-0.897329867,-0.606378054,,3.517889233,,0.012772622,0.465145991,0.002245915,0,0,,,
1997,5.17e-05,85451,36960,,"(1995,2000]",ABW,-1.450033665,3.125532165,,2.669576442,,0.013683486,0.507545101,0.000743449,0,0,,,
1998,5.2e-05,87277,36960,,"(1995,2000]",ABW,-0.385655999,0.433269506,,2.114385656,,0.006483277,0.369407759,0.001357769,0,0,,,
1999,4.86e-05,89005,36960,,"(1995,2000]",ABW,-0.471428812,-6.625710037,,1.960557913,,0.021570167,0.41333471,0.002957788,0,0,,,
2000,4.26e-05,90853,36960,,"(1995,2000]",ABW,-0.848956108,-13.29856428,,2.055026783,,0.012722817,0.475566256,0.003061722,0,0,,,
2001,4.62e-05,92898,36960,,"(2000,2005]",ABW,-1.201486111,8.258584534,,2.22593013,,0.011220049,0.370046959,0.002810161,0,0,,,
2002,3.39e-05,94992,36960,,"(2000,2005]",ABW,-0.540370464,,,2.229056047,,0.011495548,0.379569221,0.006736248,0,0,,,
2003,3.4e-05,97017,36960,,"(2000,2005]",ABW,-0.262378275,0.21758951,,2.109354335,,0.009690321,0.378240426,0.007202522,0,0,,,
2004,3.74e-05,98737,36960,,"(2000,2005]",ABW,-0.942057073,9.619727608,,1.757352867,,0.006194856,0.611065698,0.008831369,0,0,,,
2005,3.91e-05,100031,36960,,"(2000,2005]",ABW,0.030886287,4.256758488,,1.30203884,,0.020469646,0.691474175,0.003596136,0,0,,,
2006,4.08e-05,100832,36960,,"(2005,2010]",ABW,-0.092206486,4.477887251,,0.797562763,,0.015147559,0.716012596,0.003276266,0,0,,,
2007,4.15e-05,101220,36960,,"(2005,2010]",ABW,-0.356717914,1.499999797,,0.384060021,,0.025247365,0.693517177,0.001607628,0,0,,,
2008,4.37e-05,101353,36960,,"(2005,2010]",ABW,-0.513565302,5.367409287,,0.131310707,,0.01053712,0.722996419,0.00147237,0,0,,,
2009,4.12e-05,101453,36960,,"(2005,2010]",ABW,0.726589441,-5.91760505,,0.09861642,,0.015845897,0.512319034,0.008195392,0,0,,,
2010,3.72e-05,101669,36960,,"(2005,2010]",ABW,1.068507195,-10.35781246,,0.212680144,,0.03374064,0.093419424,0.002331205,0,0,,,
2011,3.51e-05,102053,36960,,"(2010,2015]",ABW,-0.064350441,-5.817418539,,0.376984768,,0.071066803,0.448227235,0.002618113,0,0,,,
2012,3.49e-05,102577,36960,,"(2010,2015]",ABW,0.022627506,-0.599885207,,0.512144989,,0.091793385,0.321445719,0.003791353,0,0,,,
2013,4.09e-05,103187,36960,,"(2010,2015]",ABW,0.153426543,15.86215375,,0.592914005,,0.036968404,0.169880383,0.0063944,0,0,,,
2014,3.72e-05,103795,36960,,"(2010,2015]",ABW,-0.304291129,-9.453084943,,0.587492389,,0.028232255,0.150797243,0.004933644,0,0,,,
2015,,104341,36960,,"(2010,2015]",ABW,0.688298762,,,0.524658159,,0.024493319,0.087773792,0.003747863,0,0,,,
2016,,104822,36960,,"(2015,2020]",ABW,0.428634465,,,0.459929192,,0.033459274,0.041969501,0.010218116,0,0,,,
1970,,,,,"(1965,1970]",ADO,,,,,,,,,0,0,,,
1971,,,,,"(1970,1975]",ADO,,,,,,,,,0,0,,,
1972,,,,,"(1970,1975]",ADO,,,,,,,,,0,0,,,
1973,,,,,"(1970,1975]",ADO,,,,,,,,,0,0,,,
1974,,,,,"(1970,1975]",ADO,,,,,,,,,0,0,,,
1975,,,,,"(1970,1975]",ADO,,,,,,,,,0,0,,,
1976,,,,,"(1975,1980]",ADO,,,,,,,,,0,0,,,
1977,,,,,"(1975,1980]",ADO,,,,,,,,,0,0,,,
1978,,,,,"(1975,1980]",ADO,,,,,,,,,0,0,,,
1979,,,,,"(1975,1980]",ADO,,,,,,,,,0,0,,,
1980,,,,,"(1975,1980]",ADO,,,,,,,,,0,0,,,
1981,,,,,"(1980,1985]",ADO,,,,,,,,,0,0,,,
1982,,,,,"(1980,1985]",ADO,,,,,,,,,0,0,,,
1983,,,,,"(1980,1985]",ADO,,,,,,,,,0,0,,,
1984,,,,,"(1980,1985]",ADO,,,,,,,,,0,0,,,
1985,,,,,"(1980,1985]",ADO,,,,,,,,,0,0,,,
1986,,,,,"(1985,1990]",ADO,,,,,,,,,0,0,,,
1987,,,,,"(1985,1990]",ADO,,,,,,,,,0,0,,,
1988,,,,,"(1985,1990]",ADO,,,,,,,,,0,0,,,
1989,,,,,"(1985,1990]",ADO,,,,,,,,,0,0,,,
1990,,,,,"(1985,1990]",ADO,,,,,,,,,0,0,,,
1991,,,,,"(1990,1995]",ADO,,,,,,,,,0,0,,,
1992,,,,,"(1990,1995]",ADO,,,,,,,,,0,0,,,
1993,,,,,"(1990,1995]",ADO,,,,,,,,,0,0,,,
1994,,,,,"(1990,1995]",ADO,,,,,,,,,0,0,,,
1995,,,,,"(1990,1995]",ADO,,,,,,,,,0,0,,,
1996,,,,,"(1995,2000]",ADO,,,,,,,,,0,0,,,
1997,,,,,"(1995,2000]",ADO,,,,,,,,,0,0,,,
1998,,,,,"(1995,2000]",ADO,,,,,,,,,0,0,,,
1999,,,,,"(1995,2000]",ADO,,,,,,,,,0,0,,,
2000,,,,,"(1995,2000]",ADO,,,,,,,,,0,0,,,
2001,,,,,"(2000,2005]",ADO,,,,,,,,,0,0,,,
2002,,,,,"(2000,2005]",ADO,,,,,,,,,0,0,,,
2003,,,,,"(2000,2005]",ADO,,,,,,,,,0,0,,,
2004,,,,,"(2000,2005]",ADO,,,,,,,,,0,0,,,
2005,,,,,"(2000,2005]",ADO,,,,,,,,,0,0,,,
2006,,,,,"(2005,2010]",ADO,,,,,,,,,0,0,,,
2007,,,,,"(2005,2010]",ADO,,,,,,,,,0,0,,,
2008,,,,,"(2005,2010]",ADO,,,,,,,,,0,0,,,
2009,,,,,"(2005,2010]",ADO,,,,,,,,,0,0,,,
2010,,,,,"(2005,2010]",ADO,,,,,,,,,0,0,,,
2011,,,,,"(2010,2015]",ADO,,,,,,,,,0,0,,,
2012,,,,,"(2010,2015]",ADO,,,,,,,,,0,0,,,
2013,,,,,"(2010,2015]",ADO,,,,,,,,,0,0,,,
2014,,,,,"(2010,2015]",ADO,,,,,,,,,0,0,,,
2015,,,,,"(2010,2015]",ADO,,,,,,,,,0,0,,,
1970,,11126123,1970,,"(1965,1970]",AFG,-0.924249351,,21.83765411,,,0.763711529,0.140158681,0.000542288,0,0,,,
1971,,11417825,1970,,"(1970,1975]",AFG,-0.860337913,,21.83058739,2.587996397,,0.765576909,0.112833349,0.000256018,0,0,,,
1972,,11721940,1970,,"(1970,1975]",AFG,-0.834796131,,22.23930931,2.628656871,,0.697287539,0.148565977,0.00068357,0,0,,,
1973,,12027822,1970,,"(1970,1975]",AFG,-1.000441074,,22.44367218,2.576016675,,0.708640965,0.106063201,0.00021467,0,0,,,
1974,,12321541,1970,,"(1970,1975]",AFG,-0.719570637,,20.52758789,2.412656524,,0.710135934,0.130727426,0.000271488,0,0,,,
1975,,12590286,1970,,"(1970,1975]",AFG,-0.537907362,,21.17316055,2.157653279,,0.661157961,0.198689238,0.000339027,0,0,,,
1976,,12840299,1970,,"(1975,1980]",AFG,-0.555796981,,17.40004539,1.966302036,,0.390738086,0,0,0,0,,,
1977,,13067538,1970,,"(1975,1980]",AFG,-0.481436908,,21.08562469,1.754255498,,0.634546881,0,7.59e-06,0,0,,,
1978,,13237734,1970,,"(1975,1980]",AFG,-0.564812541,,14.93104649,1.294024825,,0.645106978,0,4.99e-05,0,0,,,
1979,,13306695,1970,,"(1975,1980]",AFG,-0.230429143,,16.51476479,0.519590421,,0.69793699,0,0,0,0,,,
1980,,13248370,1970,,"(1975,1980]",AFG,-0.27646029,,19.11032104,-0.439276603,,0.443340004,0,0.000272933,0,0,,,
1981,,13053954,1970,,"(1980,1985]",AFG,-0.439006984,,20.74261856,-1.478344961,,0.441238081,0,0.001781258,0,0,,,
1982,,12749645,1970,,"(1980,1985]",AFG,-0.400929362,,21.38817596,-2.35876483,,0.541177486,0,0.001516916,0,0,,,
1983,,12389269,1970,,"(1980,1985]",AFG,-0.594894111,,22.27841759,-2.867273337,,0.469082879,0,0.000773589,0,0,,,
1984,,12047115,1970,,"(1980,1985]",AFG,-0.670293391,,23.00016594,-2.800548252,,0.559831897,0,0.00160042,0,0,,,
1985,,11783050,1970,,"(1980,1985]",AFG,-0.6133039,,23.90008926,-2.216315406,,0.574402955,0,0.005899733,0,0,,,
1986,,11601041,1970,,"(1985,1990]",AFG,-0.737150788,,25.12475204,-1.556722266,,0.553308058,0,0.001115787,0,0,,,
1987,,11502761,1970,,"(1985,1990]",AFG,-0.567133129,,26.06256866,-0.850774196,,0.526514705,8.58e-06,0.002275252,0,0,,,
1988,,11540888,1970,,"(1985,1990]",AFG,-0.659112275,,26.73035622,0.330911435,,0.435824267,0.001788642,0.000377036,0,0,,,
1989,,11777609,1970,,"(1985,1990]",AFG,-0.773058057,,26.89635658,2.030397862,,0.591223391,0,0.004597885,0,0,,,
1990,,12249114,1970,,"(1985,1990]",AFG,-0.475502938,,27.65239716,3.925342136,,0.622263888,0.000819931,0.005541981,0,0,,,
1991,,12993657,1970,,"(1990,1995]",AFG,-0.620342731,,28.37690544,5.900770747,,0.583839606,0.000147022,0.022778596,0,0,,,
1992,,13981231,1970,,"(1990,1995]",AFG,-0.403966844,,29.80296898,7.325447198,,0.556798572,0.000187972,0.022041851,0,0,,,
1993,,15095099,1970,,"(1990,1995]",AFG,-0.380685806,,31.05773926,7.665433431,,0.537922635,0,0.081023294,0,0,,,
1994,,16172719,1970,,"(1990,1995]",AFG,-0.514103591,,32.48521042,6.895568875,,0.721536561,0,0.040796744,0,0,,,
1995,,17099541,1970,,"(1990,1995]",AFG,-0.41314587,,32.88212967,5.572581069,,0.735655688,0.001281122,0.002659761,0,0,,,
1996,,17822884,1970,,"(1995,2000]",AFG,-0.679267585,,32.99541473,4.143162853,,0.51456077,0.239343869,0.008713528,0,0,,,
1997,,18381605,1970,,"(1995,2000]",AFG,-0.181876808,,34.44454575,3.086718672,,0.606259584,0.006481194,0.004609318,0,0,,,
1998,,18863999,1970,,"(1995,2000]",AFG,-0.458060354,,35.47028351,2.590485449,,0.60144733,0.074475746,0.003889865,0,0,,,
1999,,19403676,1970,,"(1995,2000]",AFG,-0.298710346,,34.55001831,2.820724187,,0.73350909,0.000140932,0.002778805,0,0,,,
2000,,20093756,1970,,"(1995,2000]",AFG,-0.511673987,,34.06165695,3.494658738,,0.83211889,0.003253027,0.002958932,0,0,,,
2001,,20966463,1970,,"(2000,2005]",AFG,-0.261763334,,33.214077,4.251504112,,0.682429044,0.027665202,0.002605656,0,0,,,
2002,,21979923,1970,,"(2000,2005]",AFG,-0.260593146,,33.22623444,4.720528462,,0.716545514,0.000188328,0.016641327,0,0,,,
2003,,23064851,1970,,"(2000,2005]",AFG,-0.727987826,,31.15551758,4.81804112,,0.570919871,0.243158977,0.032631003,0,0,,,
2004,,24118979,1970,,"(2000,2005]",AFG,-0.799060881,,34.4973259,4.468918396,,0.751695076,0.036758957,0.064572895,0,0,,,
2005,,25070798,1970,,"(2000,2005]",AFG,-0.296775639,,33.59597397,3.870470159,,0.647052319,0.002444217,0.101362651,0,0,,,
2006,,25893450,1970,,"(2005,2010]",AFG,-0.954348683,,34.22053909,3.228629843,,0.766032238,0.000755587,0.038059083,0,0,,,
2007,,26616792,1970,,"(2005,2010]",AFG,-0.527904868,,34.22343826,2.755225384,,0.618566787,1.77e-05,0.055414379,0,0,,,
2008,,27294031,1970,,"(2005,2010]",AFG,-0.126251653,,37.74830246,2.512573879,,0.164010137,0.003263269,0.011630367,0,0,,,
2009,,28004331,1970,,"(2005,2010]",AFG,0.686998546,,34.81978607,2.569114319,,0.147908379,4.68e-05,0.014427974,0,0,,,
2010,,28803167,1970,,"(2005,2010]",AFG,-0.053395171,,35.40208054,2.812616959,,0.133384296,0.000735667,0.011608609,0,0,,,
2011,,29708599,1970,,"(2010,2015]",AFG,-0.72167778,,36.94078064,3.095118615,,0.119576407,9.15e-05,0.029825998,0,0,,,
2012,,30696958,1970,,"(2010,2015]",AFG,-0.613931715,,36.28647614,3.272702921,,0.123881064,0.00090043,0.104932837,0,0,,,
2013,,31731688,1970,,"(2010,2015]",AFG,-0.723806441,,34.96455002,3.315224131,,0.321255471,0.000260212,0.059748975,0,0,,,
2014,,32758020,1970,,"(2010,2015]",AFG,-0.832730234,,34.1890831,3.183201455,,0.267939076,2.35e-05,0.075655562,0,0,,,
2015,,33736494,1970,,"(2010,2015]",AFG,-1.120907187,,30.36369896,2.943234185,,0.426402237,0.000665962,0.053422642,0,0,,,
1960,,8996351,1970,,"(1955,1960]",AFG,,,,-132.1761109,,,,,0,0,,,
1961,,9166764,1970,,"(1960,1965]",AFG,,,,1.876528345,,,,,0,0,,,
1962,,9345868,1970,,"(1960,1965]",AFG,-0.673163235,,,1.934998636,,0.861834444,2.31e-05,0.000136244,0,0,,,
1963,,9533954,1970,,"(1960,1965]",AFG,-0.816041768,,,1.992521144,,0.871333906,0.000924564,0,0,0,,,
1964,,9731361,1970,,"(1960,1965]",AFG,-0.787339628,,,2.049423115,,0.865158642,0.000168959,0,0,0,,,
1965,,9938414,1970,,"(1960,1965]",AFG,-0.653606534,,,2.105368751,,0.873218617,4.65e-05,1.27e-05,0,0,,,
1966,,10152331,1970,,"(1965,1970]",AFG,-0.705435276,,,2.12958837,,0.883458006,2.85e-05,0.000134105,0,0,,,
1967,,10372630,1970,,"(1965,1970]",AFG,-0.79324162,,,2.146727199,,0.855422483,0.043269591,0.000226603,0,0,,,
1968,,10604346,1970,,"(1965,1970]",AFG,-0.746852636,,,2.20933108,,0.826140028,0.084818661,0.000534318,0,0,,,
1969,,10854428,1970,,"(1965,1970]",AFG,-0.79204756,,,2.330919024,,0.797573117,0.116551805,0.0003517,0,0,,,
2016,,34656032,1970,,"(2015,2020]",AFG,-1.212011695,,,116.0898687,,0.434449213,6.87e-05,0.190987965,0,0,,,
1960,,5643182,6170,,"(1955,1960]",AGO,,,,,,,,,0,1,,,
1961,,5753024,6170,,"(1960,1965]",AGO,,,,1.927753879,,,,,0,1,,,
1962,,5866061,6170,,"(1960,1965]",AGO,-0.563580692,,,1.94577398,,0.930677332,0.033915849,0.062378862,0,1,,,
1963,,5980417,6170,,"(1960,1965]",AGO,-1.139367342,,,1.930692856,,0.931276403,0.050243044,0.072837903,0,1,,,
1964,,6093321,6170,,"(1960,1965]",AGO,-1.185072064,,,1.870295531,,0.851790052,0.029341757,0.077282963,0,1,,,
1965,,6203299,6170,,"(1960,1965]",AGO,-1.02876842,,,1.788799403,,0.840456245,0.013737236,0.047745473,0,1,,,
1966,,6309770,6170,,"(1965,1970]",AGO,-1.02095592,,,1.70179785,,0.794197475,0.004778118,0.054130832,0,1,,,
1967,,6414995,6170,,"(1965,1970]",AGO,-1.133885741,,,1.653899283,,0.804953876,0.006510865,0.053584172,0,1,,,
1968,,6523791,6170,,"(1965,1970]",AGO,-1.12546885,,,1.681743004,,0.799578341,0.002946207,0.127421126,0,1,,,
1969,,6642632,6170,,"(1965,1970]",AGO,-0.799454689,,,1.805262181,,0.732841052,0.07468642,0.154688433,0,1,,,
1970,4.19e-06,6776381,6170,,"(1965,1970]",AGO,-1.116804361,,,1.993491314,1.015685797,0.601983056,0.153420376,0.139312777,0,1,,,
1971,4.38e-06,6927269,6170,,"(1970,1975]",AGO,-1.263723969,4.481502975,,2.20224682,1.018195629,0.610912302,0.183882728,0.143341309,0,1,,,
1972,4.19e-06,7094834,6170,,"(1970,1975]",AGO,-0.919081271,-4.3491573,,2.390126174,1.020711541,0.56198202,0.221980593,0.113365912,0,1,,,
1973,4.39e-06,7277960,6170,,"(1970,1975]",AGO,-0.859559596,4.484993605,,2.548368958,1.023233771,0.608270612,0.246552112,0.128273556,0,1,,,
1974,4.3e-06,7474338,6170,,"(1970,1975]",AGO,-1.017617464,-1.999091713,,2.662495032,1.0257622,0.481066959,0.377224855,0.150696038,0,1,,,
1975,3.94e-06,7682479,6170,,"(1970,1975]",AGO,-1.38747263,-8.793681862,39.08480835,2.746672805,1.028296828,0.383203065,0.528774625,0.07782463,0,1,,,
1976,3.72e-06,7900997,6170,,"(1975,1980]",AGO,-1.751774907,-5.722718438,39.08480835,2.804667251,1.030837774,0.312731763,0.678807142,0,0,1,,,
1977,3.76e-06,8130988,6170,,"(1975,1980]",AGO,-1.465954185,1.199983597,39.11255264,2.869348735,1.033385038,0.156086055,0.83889298,0.000174045,0,1,,,
1978,3.33e-06,8376147,6170,,"(1975,1980]",AGO,-2.125632048,-12.35431222,39.14029694,2.970558217,1.035938501,0.39270756,0.512166435,0.000445444,0,1,,,
1979,3.24e-06,8641521,6170,,"(1975,1980]",AGO,-1.749388576,-2.519348831,39.16804123,3.119058543,1.038498282,0.154383969,0.781717295,0.000431314,0,1,,,
1980,3.32e-06,8929900,6170,,"(1975,1980]",AGO,-2.507641315,2.23149656,39.20999527,3.282658763,1.041064382,0.102364533,0.847025778,0.000264145,0,1,,,
1981,3.13e-06,9244507,6170,,"(1980,1985]",AGO,-1.994001269,-5.711245375,39.21351242,3.462434068,1.050380826,0.059296665,0.927367069,0.00209981,0,1,,,
1982,2.87e-06,9582156,6170,,"(1980,1985]",AGO,-2.196269512,-8.879136413,39.29275131,3.587308156,1.059780598,0.051584229,0.943167432,0.000406312,0,1,,,
1983,2.88e-06,9931562,6170,,"(1980,1985]",AGO,-2.15790987,0.544874439,39.57720184,3.581514794,1.069264412,0.025626807,0.970762283,0,0,1,,,
1984,2.76e-06,10277321,6170,,"(1980,1985]",AGO,-2.61284399,-4.265440845,39.2481041,3.422185616,1.078833222,0.02233475,0.975079548,5.1e-06,0,1,,,
1985,2.92e-06,10609042,6170,,"(1980,1985]",AGO,-2.583803177,5.548625405,39.35503387,3.176703342,1.088487506,0.010809905,0.925861955,1.2e-05,0,1,,,
1986,2.48e-06,10921037,6170,,"(1985,1990]",AGO,-2.088649273,-16.38412006,36.24627304,2.898427281,1.098228335,0.02428414,0.885915953,6.47e-06,0,1,,,
1987,2.64e-06,11218268,6170,,"(1985,1990]",AGO,-1.57839191,6.51427151,37.9806633,2.68525918,1.108056307,0.018681335,0.904158495,3.47e-05,0,1,,,
1988,2.45e-06,11513968,6170,,"(1985,1990]",AGO,-1.75521028,-7.663409345,47.01351929,2.601738605,1.117972136,0.021829232,0.853744716,0.000457944,0,1,,,
1989,2.57e-06,11827237,6170,,"(1985,1990]",AGO,-1.624969244,4.648380896,40.3812294,2.684418494,1.127976775,0.008861368,0.860389898,6.08e-05,0,1,,,
1990,2.68e-06,12171441,6170,,"(1985,1990]",AGO,-1.923359632,4.48733017,44.17583084,2.868721394,1.138070941,0.036281511,0.902498227,0.000171095,0,1,-1.101648,,-0.9741939
1991,2.1e-06,12553446,6170,,"(1990,1995]",AGO,-1.789980292,-24.75472393,40.788311,3.090290365,1.153040051,0.028532521,0.908567017,4.38e-05,0,1,-0.8807429,,-0.558919
1992,2.31e-06,12968345,6170,,"(1990,1995]",AGO,-1.885377765,9.947063006,54.8040123,3.251617847,1.168206215,0.005171174,0.902068644,9.23e-05,0,1,-0.9799489,,-0.703738
1993,2.05e-06,13403734,6170,,"(1990,1995]",AGO,-1.805799127,-12.10907482,55.27051926,3.302193683,1.183571696,0.00672333,0.909923939,8.52e-05,0,1,-1.468159,,-1.520394
1994,2.09e-06,13841301,6170,,"(1990,1995]",AGO,-1.607091904,1.921672287,53.28432083,3.212362381,1.199139357,0.010628788,0.894500913,0.000961297,0,1,-1.599089,,-1.520363
1995,1.79e-06,14268994,6170,30,"(1990,1995]",AGO,-2.237001657,-15.27616002,56.93587875,3.043198279,1.214911699,0.012197017,0.903798845,0.001304576,0,1,-1.293655,,
1996,2.33e-06,14682284,6170,30,"(1995,2000]",AGO,-2.436475992,25.97824989,56.91862488,2.855266546,1.230891585,0.009103549,0.872153502,0.000299641,0,1,-1.142306,,-1.626154
1997,2.23e-06,15088981,6170,30,"(1995,2000]",AGO,-1.842195153,-4.37790846,58.47193527,2.732314542,1.247081637,0.011018789,0.879549999,0.000646578,0,1,-1.227409,,-1.617923
1998,2.51e-06,15504318,6170,30,"(1995,2000]",AGO,-1.813129187,12.01000134,58.85575485,2.715382344,1.263484716,0.01188261,0.851986445,0.000626361,0,1,-1.42485,,-1.630763
1999,2.17e-06,15949766,6170,30,"(1995,2000]",AGO,-2.071602583,-14.76610784,62.27462769,2.83255925,1.280103445,0.008979836,0.83537866,0.000286315,0,1,-1.537282,,-1.599516
2000,1.86e-06,16440924,6170,30,"(1995,2000]",AGO,-2.161952734,-15.47779368,61.93787003,3.032943415,1.296940804,0.006763445,0.872499296,0.000393009,0,1,-1.460313,,
2001,2.14e-06,16983266,6170,,"(2000,2005]",AGO,-2.037480354,14.13422076,60.96181488,3.245491389,1.308486342,0.008621456,0.868961463,0.000413595,0,1,-1.50786,,
2002,2.34e-06,17572649,6170,,"(2000,2005]",AGO,-1.655798435,9.135255024,57.59127808,3.411515287,1.32013464,0.007848197,0.895526132,0.00038178,0,1,-1.261474,,
2003,2.37e-06,18203369,6170,,"(2000,2005]",AGO,-2.091551065,1.316578884,56.84831619,3.526302765,1.331886649,0.003351916,0.936879355,0.000605742,0,1,-1.387382,,
2004,2.77e-06,18865716,6170,,"(2000,2005]",AGO,-0.936891973,15.41490547,54.86132813,3.573961974,1.343743324,0.003097322,0.952758995,0.000433515,0,1,-1.407137,,
2005,3.63e-06,19552542,6170,,"(2000,2005]",AGO,-2.027369499,26.99965892,55.24103165,3.575899698,1.355705619,0.003244118,0.953159919,0.000493865,0,1,-1.376953,,
2006,4.63e-06,20262399,6170,30,"(2005,2010]",AGO,-2.087770224,24.51297406,53.94617844,3.566159892,1.367774248,0.002274859,0.924747063,0.000491045,0,1,-1.240474,-1.62334,-1.384297
2007,5.08e-06,20997687,6170,20,"(2005,2010]",AGO,-1.867902637,9.162675506,51.48435593,3.564538633,1.379950404,0.022597206,0.941378108,0.000397812,0,1,-1.265025,-1.555979,-1.444731
2008,6.04e-06,21759420,6170,20,"(2005,2010]",AGO,-1.946046591,17.27479358,50.08055496,3.563447842,1.392234921,0.001548515,0.971288188,0.001184174,0,1,-1.24562,,
2009,4.77e-06,22549547,6170,20,"(2005,2010]",AGO,-2.097483397,-23.54793699,49.270504,3.566820983,1.404628754,0.01307888,0.937548796,0.000899007,0,1,-1.313116,-1.499112,-1.312685
2010,6.09e-06,23369131,6170,20,"(2005,2010]",AGO,-2.093617439,24.37533112,51.98902893,3.570098638,1.417132974,0.013527034,0.951577368,0.000567151,0,1,-1.238374,-1.383281,-1.495058
2011,7.26e-06,24218565,6170,20,"(2010,2015]",AGO,-1.385795593,17.66717611,51.37921906,3.570352438,1.424196243,0.010504894,0.95648638,0.001178053,0,1,,,
2012,7.69e-06,25096150,6170,20,"(2010,2015]",AGO,-1.374890208,5.724965476,49.44898224,3.55949601,1.43129468,0.010286707,0.933323109,0.001235408,0,1,,,
2013,8.07e-06,25998340,6170,15,"(2010,2015]",AGO,-1.225563645,4.76300677,48.19307327,3.531824191,1.438428521,0.009141685,0.934275281,0.001529512,0,1,,,
2014,7.92e-06,26920466,6170,15,"(2010,2015]",AGO,-1.333353043,-1.789338009,44.52735519,3.485412535,1.445597887,0.013982213,0.937421243,0.001587456,0,1,,,
